,method,cor.all.pearson,cor.all.spearman,cor.native.pearson,cor.native.spearman,pred.native.over.0.5,test.auc,test.max.kappa,test.max.tss,train.auc,train.max.kappa,train.max.tss,true.native.over.0.5,true.change.all,pred.change.all,pred.error.all,pred.cor.all,true.change.occ,pred.change.occ,pred.error.occ,pred.cor.occ,true.cells.declining.all,pred.cells.declining.all,prop.agreed.declining.all,true.cells.declining.occ,pred.cells.declining.occ,prop.agreed.declining.occ,spearman.occ,spearman.all
1,bc,0.342175124,0.304337109,0.235573494,0.235539165,49.18348624,0.652385804,0.191657608,0.336378054,0.708907439,0.199232311,0.439120203,4037.137615,-0.01686532,-0.012200566,0.004664753,0.141469947,-0.068854709,-0.101998626,-0.033143917,0.125074487,15109.75344,2969.927561,0.118483861,48.43845566,62.87977829,0.619097112,0.181032986,0.149797321
2,brt,0.276119454,0.103077883,0.230364773,0.253066181,28.421875,0.749064623,0.318658966,0.478406453,0.877511627,0.497800027,0.635033656,3444.838542,-0.016775427,0.006138411,0.022913838,0.014995016,-0.071059384,-0.08811564,-0.017056256,0.085659708,15337.92491,12069.92687,0.359064835,48.23133681,53.98893229,0.560361734,0.324581474,0.157440359
3,dm,0.58435313,0.518040014,0.21353642,0.209803328,2589.926606,0.625463209,0.179382155,0.304334012,0.644162852,0.160565937,0.277500102,4037.137615,-0.01686532,-0.059559496,-0.042694176,0.284484074,-0.068854709,-0.228973816,-0.160119107,0.278134543,15109.75344,9257.02198,0.328626799,48.43845566,60.93845566,0.617407613,0.286584744,0.410052899
4,gam,0.1973356,0.348512074,0.135799962,0.171437212,200.0825688,0.722455384,0.288733917,0.446681352,0.864193165,0.4452006,0.616277293,4037.137615,-0.01686532,0.024092672,0.040957991,0.120183999,-0.068854709,-0.036310421,0.032544288,0.059775017,15109.75344,9683.655772,0.312608509,48.43845566,48.06479358,0.506892735,0.244968641,0.3183345
5,glm,0.070381767,0.185677827,0.218576366,0.25889189,160.8211009,0.702803729,0.266485079,0.409525668,0.773612252,0.3015731,0.463747093,4037.137615,-0.01686532,0.016515965,0.033381285,0.081977586,-0.068854709,0.006684968,0.075539677,0.044988202,15109.75344,13775.71311,0.405088879,48.43845566,47.75955657,0.488655993,0.227446375,0.16658541
6,mx,0.496294508,0.396618183,0.282820032,0.270346911,818.7981651,0.732397025,0.292307787,0.451832164,0.811500469,0.348681997,0.518187872,4037.137615,-0.01686532,0.002960962,0.019826282,0.168648882,-0.068854709,-0.148795695,-0.079940986,0.195648064,15109.75344,14020.13857,0.428465626,48.43845566,51.73126911,0.554542227,0.376570372,0.345766721
7,rf,0.033046074,-0.142718137,0.05136768,0.062606443,116.6926606,0.726497358,0.386446395,0.457512028,0.988953807,0.833363568,0.959098833,4037.137615,-0.01686532,0.051690954,0.068556274,-0.098758533,-0.068854709,-0.245960894,-0.177106185,0.008461367,15109.75344,7788.790902,0.220850456,48.43845566,60.41437309,0.577262621,0.236384324,0.077482965
