,method,cor.all.spearman,cor.native.spearman,cor.all.pearson,cor.native.pearson,train.auc,test.auc,train.max.tss,test.max.tss,train.max.kappa,test.max.kappa
1,bc,0.304337109,0.235539165,0.342175124,0.235573494,0.708907439,0.652385804,0.439120203,0.336378054,0.199232311,0.191657608
2,brt,0.103077883,0.253066181,0.276119454,0.230364773,0.877511627,0.749064623,0.635033656,0.478406453,0.497800027,0.318658966
3,dm,0.518040014,0.209803328,0.58435313,0.21353642,0.644162852,0.625463209,0.277500102,0.304334012,0.160565937,0.179382155
4,gam,0.348512074,0.171437212,0.1973356,0.135799962,0.864193165,0.722455384,0.616277293,0.446681352,0.4452006,0.288733917
5,glm,0.185677827,0.25889189,0.070381767,0.218576366,0.773612252,0.702803729,0.463747093,0.409525668,0.3015731,0.266485079
6,mx,0.396618183,0.270346911,0.496294508,0.282820032,0.811500469,0.732397025,0.518187872,0.451832164,0.348681997,0.292307787
7,rf,-0.142718137,0.062606443,0.033046074,0.05136768,0.988953807,0.726497358,0.959098833,0.457512028,0.833363568,0.386446395
